,City,Country,Latitude,Longitude,Temperature-Max-Farenheit,Humidity-Percentage,Cloudiness-Percentage,Wind-Speed
443,Teya,RU,60.38,92.63,28.74,94,100,8.23
444,Provideniya,RU,64.38,-173.3,39.18,94,100,16.4
445,West,US,31.8,-97.09,57.83,51,40,6.93
446,Enugu,NG,6.44,7.49,84.49,71,95,3.38
447,Mawlaik,MM,23.63,94.42,82.4,65,1,1.68
448,Sur,OM,22.57,59.53,85.14,43,2,19.37
449,Suclayin,PH,15.76,121.55,77.68,87,98,1.45
450,Tuburan,PH,6.64,122.27,78.8,88,90,8.05
451,Ganzhou,CN,28.82,115.43,59.68,91,100,6.31
452,Uniontown,US,39.9,-79.72,46.56,67,100,5.03
453,Loíza,PR,18.43,-65.88,79.83,83,40,5.82
454,Penalva,BR,-3.29,-45.17,83.66,69,43,5.97
455,Atar,MR,20.52,-13.05,97.74,14,24,13.31
456,Waghāi,IN,20.77,73.48,85.41,73,43,4.07
457,Ranau,MY,5.95,116.66,82.27,83,40,0.58
458,San Fernando del Valle de Catamarca,AR,-28.47,-65.79,70.38,53,27,7.0
459,Kieta,PG,-6.22,155.63,80.13,74,65,3.11
460,Opuwo,NA,-18.06,13.84,95.74,18,92,13.69
461,Qingyang,CN,37.5,121.26,58.84,57,70,9.55
462,Weinan,CN,34.5,109.51,55.35,62,11,2.24
463,Margate,GB,51.38,1.39,52.7,71,100,1.99
464,Menongue,AO,-14.66,17.69,88.43,28,75,8.59
465,Tezu,IN,27.92,96.17,79.23,63,5,3.42
466,El Puerto de Santa María,ES,36.59,-6.23,71.28,60,1,8.05
467,Mossamedes,AO,-15.2,12.15,82.4,54,8,11.41
468,Vehari,PK,30.03,72.35,92.55,10,5,4.0
469,San,ML,13.3,-4.9,96.51,32,42,0.63
470,Cache,US,41.75,-111.75,29.93,86,1,1.9
471,Neryungri,RU,56.67,124.65,25.43,97,100,3.2
472,Kutum,SD,14.2,24.67,89.33,12,1,8.21
473,Talcahuano,CL,-36.72,-73.12,53.6,93,90,14.99
474,Pangnirtung,CA,66.15,-65.71,37.4,77,90,5.82
475,Goderich,CA,43.75,-81.72,43.27,68,61,11.01
476,Tomatlán,MX,19.93,-105.25,75.4,88,83,2.35
477,Oistins,BB,13.07,-59.53,86.0,74,40,13.87
478,San,ML,13.3,-4.9,96.51,32,42,0.63
479,New,LR,6.65,-10.59,88.83,59,68,3.18
480,Tarakan,ID,3.3,117.63,81.46,73,99,4.38
481,Sydney,AU,-33.87,151.21,61.68,77,75,5.82
482,Makungu,TZ,-8.73,35.28,79.93,46,21,10.92
483,Dukat,RU,62.55,155.55,22.78,96,100,6.93
484,Lewistown,US,40.6,-77.57,49.69,87,75,1.12
485,El Puerto de Santa María,ES,36.59,-6.23,71.28,60,1,8.05
486,Oriximiná,BR,-1.77,-55.87,86.09,54,1,4.61
487,Kysyl-Syr,RU,63.9,122.76,25.88,98,100,3.56
488,Mahibadhoo,MV,3.78,72.97,83.34,75,88,20.92
489,Coruripe,BR,-10.13,-36.18,81.46,63,25,10.74
490,Kendari,ID,-3.94,122.5,78.33,85,31,4.0
491,Rockport,US,28.02,-97.05,67.23,82,90,19.46
492,Leningradskiy,RU,69.38,178.42,35.87,91,100,17.56
493,Zhicheng,CN,30.3,111.5,58.86,76,64,3.58
494,Oranjestad,AW,12.52,-70.03,84.2,79,20,11.41
495,Lodja,CD,-3.48,23.43,92.28,42,96,3.18
496,Maturin,VE,9.75,-63.18,78.06,87,1,2.71
497,Wajir,KE,1.75,40.06,90.14,40,97,11.52
498,Mobai,SL,7.99,-10.75,91.26,51,89,2.26
499,Praia,CV,14.92,-23.51,87.8,66,20,9.17
500,Esim,GH,4.87,-2.24,80.33,81,100,10.42
501,Carnot,CF,4.94,15.87,83.1,70,60,3.96
502,Båtsfjord,NO,70.63,29.72,32.7,85,75,3.36
503,Pontianak,ID,-0.03,109.33,78.46,90,90,4.59
504,Oktyabr'skiy,RU,54.48,53.47,57.96,50,87,10.0
505,Omboué,GA,-1.57,9.26,81.25,67,96,8.68
506,Yomou,GN,7.56,-9.27,87.48,53,68,3.2
507,Hinundayan,PH,10.35,125.25,81.5,77,100,3.67
508,Brigantine,US,39.41,-74.36,66.74,93,90,8.72
509,Guerrero,MX,17.67,-100.0,65.66,75,76,2.21
510,Tokur,RU,53.13,132.9,24.6,93,49,6.33
511,Asău,RO,46.43,26.4,63.0,77,70,2.59
512,Ełk,PL,53.83,22.36,47.82,68,92,8.81
513,Serra,BR,-20.13,-40.31,77.29,65,19,11.41
514,Flinders,AU,-34.58,150.86,60.26,74,100,1.01
515,Dobryanka,RU,58.46,56.42,48.2,87,75,15.66
516,Qasigiannguit,GL,68.82,-51.19,35.6,80,75,2.24
517,Vilcún,CL,-38.65,-72.23,41.0,100,90,2.24
518,Sicamous,CA,50.83,-118.99,41.0,97,100,2.98
519,Noyabrsk,RU,63.2,75.45,35.19,97,100,21.25
520,Danjiangkou,CN,32.54,111.51,61.23,62,36,0.78
521,Macao,MO,22.2,113.55,81.34,78,20,13.87
522,Nisia,GR,39.39,21.64,63.03,71,68,8.01
523,Apache,US,34.89,-98.37,42.39,75,1,8.05
524,Tshikapa,CD,-6.42,20.8,82.94,75,81,5.23
525,Mogadishu,SO,2.04,45.34,86.0,62,40,14.99
526,Luba,GQ,3.46,8.55,82.4,88,75,5.82
527,Ngaoundéré,CM,7.32,13.58,80.6,57,40,6.93
528,San,ML,13.3,-4.9,96.51,32,42,0.63
529,Vao,NC,-22.67,167.48,70.11,82,94,18.32
530,Peschanokopskoye,RU,46.2,41.08,79.63,34,0,4.92
531,Hede,CN,33.77,120.25,57.47,77,53,5.35
532,Kahului,US,20.89,-156.47,71.8,73,1,3.0
533,Pedernales,DO,18.04,-71.74,77.0,94,20,5.82
534,Saint-Augustin,CA,51.23,-58.65,48.38,86,86,9.42
535,Bambanglipuro,ID,-7.95,110.28,77.74,82,37,5.03
536,Samarkand,UZ,39.65,66.96,71.6,26,0,4.7
537,Nome,US,64.5,-165.41,37.17,93,90,27.51
538,Lorengau,PG,-2.02,147.27,81.72,76,100,7.02
539,Bathsheba,BB,13.22,-59.52,86.0,74,40,13.87
540,Mayo,US,38.89,-76.51,55.71,93,90,11.41
541,Ilulissat,GL,69.22,-51.1,35.6,80,75,2.24
542,Portsmouth,GB,50.8,-1.09,57.18,63,18,1.01
543,Ankang,CN,32.68,109.02,55.99,35,16,8.01
544,Mount,GB,53.66,-1.85,52.11,77,73,1.99
545,Altay,CN,47.87,88.12,38.16,63,0,7.02
546,Buluang,PH,13.31,123.34,77.99,86,75,3.0
547,Paragominas,BR,-2.97,-47.48,83.77,64,39,4.83
548,Arrondissement de Castres,FR,43.58,2.17,47.84,87,90,10.29
549,Mudon,MM,16.26,97.72,78.66,91,100,4.85
550,Itamarandiba,BR,-17.86,-42.86,74.93,69,87,5.64
551,Cartagena,CO,10.4,-75.51,82.4,94,72,4.7
552,Santa,PH,17.49,120.43,79.43,82,89,4.85
553,Correntina,BR,-13.34,-44.64,90.99,22,0,5.01
554,Syracuse,IT,37.09,15.28,73.42,46,45,2.24
555,Diu,IN,20.71,70.98,86.5,72,86,11.54
556,Biak,ID,-0.91,122.88,78.96,82,98,2.39
557,Bafoulabé,ML,13.81,-10.83,96.33,40,75,3.53
558,Shādegān,IR,30.65,48.66,99.48,12,0,11.41
559,Taiobeiras,BR,-15.81,-42.23,79.66,58,7,9.26
560,Dolgoderevenskoye,RU,55.34,61.34,62.6,45,40,15.66
